oriented = no
weighted = no
0 1 0 27
0 13 0 27
0 20 0 27
0 2 0 27
0 21 0 27
0 5 0 27
0 9 0 27
10 18 0 27
10 19 0 27
1 10 0 27
1 11 0 27
11 17 0 27
11 21 0 27
1 13 0 27
1 14 0 27
1 16 0 27
1 17 0 27
1 18 0 27
1 20 0 27
12 21 0 27
12 22 0 27
1 24 0 27
1 3 0 27
13 14 0 27
13 15 0 27
13 18 0 27
13 20 0 27
13 21 0 27
13 24 0 27
14 19 0 27
14 21 0 27
14 43 0 27
1 5 0 27
15 20 0 27
15 22 0 27
16 19 0 27
16 20 0 27
16 23 0 27
17 18 0 27
17 19 0 27
17 20 0 27
17 21 0 27
17 24 0 27
1 8 0 27
18 20 0 27
18 24 0 27
1 9 0 27
19 20 0 27
19 21 0 27
19 24 0 27
19 57 0 27
20 21 0 27
2 10 0 27
2 12 0 27
21 22 0 27
21 23 0 27
21 24 0 27
2 15 0 27
2 18 0 27
2 20 0 27
2 22 0 27
22 31 0 27
2 24 0 27
23 24 0 27
2 5 0 27
25 26 0 27
25 27 0 27
25 34 0 27
25 43 0 27
25 46 0 27
25 48 0 27
26 31 0 27
26 33 0 27
26 36 0 27
26 39 0 27
26 40 0 27
26 42 0 27
26 45 0 27
26 46 0 27
27 28 0 27
27 34 0 27
27 44 0 27
27 48 0 27
2 8 0 27
28 29 0 27
28 32 0 27
28 34 0 27
28 37 0 27
28 38 0 27
28 39 0 27
28 44 0 27
29 31 0 27
29 32 0 27
29 34 0 27
29 37 0 27
29 40 0 27
29 48 0 27
29 81 0 27
30 34 0 27
30 39 0 27
30 42 0 27
30 47 0 27
30 48 0 27
3 11 0 27
3 13 0 27
31 34 0 27
31 38 0 27
31 41 0 27
31 49 0 27
3 16 0 27
3 19 0 27
32 41 0 27
32 42 0 27
32 44 0 27
32 47 0 27
32 93 0 27
33 36 0 27
33 39 0 27
33 44 0 27
33 46 0 27
33 47 0 27
3 4 0 27
34 37 0 27
34 39 0 27
34 43 0 27
34 45 0 27
34 49 0 27
3 5 0 27
35 37 0 27
35 38 0 27
35 46 0 27
35 47 0 27
36 41 0 27
36 43 0 27
36 49 0 27
3 7 0 27
37 41 0 27
37 45 0 27
37 46 0 27
37 48 0 27
37 49 0 27
38 39 0 27
38 47 0 27
3 9 0 27
39 42 0 27
40 72 0 27
4 10 0 27
4 12 0 27
41 43 0 27
4 16 0 27
4 17 0 27
4 18 0 27
42 46 0 27
42 48 0 27
42 49 0 27
43 46 0 27
43 49 0 27
44 45 0 27
45 49 0 27
46 48 0 27
4 65 0 27
47 48 0 27
48 66 0 27
50 51 0 27
50 54 0 27
50 60 0 27
50 63 0 27
50 65 0 27
50 66 0 27
50 68 0 27
50 70 0 27
50 71 0 27
50 73 0 27
50 76 0 27
5 11 0 27
51 52 0 27
51 54 0 27
5 16 0 27
51 65 0 27
51 67 0 27
51 70 0 27
51 71 0 27
51 72 0 27
52 53 0 27
52 60 0 27
52 65 0 27
52 67 0 27
52 70 0 27
52 71 0 27
52 73 0 27
53 57 0 27
53 59 0 27
53 64 0 27
53 67 0 27
53 68 0 27
54 58 0 27
54 64 0 27
54 74 0 27
55 56 0 27
55 58 0 27
55 59 0 27
55 60 0 27
55 64 0 27
55 72 0 27
55 73 0 27
56 57 0 27
56 61 0 27
56 64 0 27
5 7 0 27
57 59 0 27
57 60 0 27
57 62 0 27
57 63 0 27
57 64 0 27
57 67 0 27
58 65 0 27
58 69 0 27
59 60 0 27
59 64 0 27
59 65 0 27
59 67 0 27
59 72 0 27
59 73 0 27
60 61 0 27
60 64 0 27
60 65 0 27
6 15 0 27
6 16 0 27
61 64 0 27
61 69 0 27
61 72 0 27
62 68 0 27
62 69 0 27
62 70 0 27
62 71 0 27
63 64 0 27
63 67 0 27
63 69 0 27
63 72 0 27
63 74 0 27
64 65 0 27
64 66 0 27
64 71 0 27
64 73 0 27
65 66 0 27
65 67 0 27
65 69 0 27
65 70 0 27
65 72 0 27
66 67 0 27
66 74 0 27
6 7 0 27
67 70 0 27
67 73 0 27
6 8 0 27
68 70 0 27
68 71 0 27
68 74 0 27
6 9 0 27
69 72 0 27
69 73 0 27
70 74 0 27
7 17 0 27
71 72 0 27
71 73 0 27
71 74 0 27
7 19 0 27
7 22 0 27
75 76 0 27
75 79 0 27
75 82 0 27
75 83 0 27
75 86 0 27
75 90 0 27
75 91 0 27
75 95 0 27
75 98 0 27
76 77 0 27
76 79 0 27
76 82 0 27
76 85 0 27
76 86 0 27
76 92 0 27
76 95 0 27
76 97 0 27
76 99 0 27
77 79 0 27
77 80 0 27
77 81 0 27
77 84 0 27
77 93 0 27
77 94 0 27
77 97 0 27
77 99 0 27
78 79 0 27
78 80 0 27
78 83 0 27
78 84 0 27
78 87 0 27
78 93 0 27
78 95 0 27
78 98 0 27
79 81 0 27
79 83 0 27
79 84 0 27
79 85 0 27
79 87 0 27
79 91 0 27
79 99 0 27
80 81 0 27
80 84 0 27
80 88 0 27
8 11 0 27
